2022-01-31 08:13:00,919 | SERVER_CODE |  INFO | [2050] Services (1):
2022-01-31 08:13:00,919 | SERVER_CODE |  INFO | [2050]   NEAR (services/NEAR/index.js)
2022-01-31 08:13:00,921 | SERVER_CODE |  INFO | [2050] Processing finished in 132.298ms
2022-01-31 08:13:01,876 | SERVER_CODE |  INFO | [3854] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 08:13:01,878 | SERVER_CODE |  INFO | [3854] ServerCode Model built in 5ms
2022-01-31 08:13:01,882 | SERVER_CODE |  INFO | [3854] [58EE1C25-2C06-19D4-FF52-D80C33FBBB00] [INVOKE SERVICE] services.NEAR.Balance
2022-01-31 08:13:01,886 | SERVER_CODE |  INFO | [3854] http://rest.nearapi.org/balance/kzncvaa.testnet
2022-01-31 08:13:01,887 | SERVER_CODE | ERROR | [3854] Error: Url must be specified.
    at /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION/services/NEAR/index.js:78:79
    at NEAR.Balance (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION/services/NEAR/index.js:78:219)
    at ServiceWrapper.invokeMethod (/usr/local/lib/node_modules/backendless-coderunner/lib/server-code/model/service.js:81:29)
    at Domain.<anonymous> (/usr/local/lib/node_modules/backendless-coderunner/lib/server-code/runners/tasks/invoke-service.js:78:31)
    at Domain.run (domain.js:373:15)
    at /usr/local/lib/node_modules/backendless-coderunner/lib/server-code/runners/tasks/invoke-service.js:77:7
    at new Promise (<anonymous>)
    at execute (/usr/local/lib/node_modules/backendless-coderunner/lib/server-code/runners/tasks/invoke-service.js:62:10)
    at executeTask (/usr/local/lib/node_modules/backendless-coderunner/lib/server-code/runners/tasks/executor.js:82:7)
    at Object.executor.execute (/usr/local/lib/node_modules/backendless-coderunner/lib/server-code/runners/tasks/executor.js:191:22)
2022-01-31 08:13:01,887 | SERVER_CODE |  INFO | [3854] Processing finished in 20.747ms
2022-01-31 08:13:14,287 | SERVER_CODE |  INFO | [2072] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:13:14,289 | SERVER_CODE |  INFO | [2072] Building Model..
2022-01-31 08:13:14,427 | SERVER_CODE |  INFO | [2072] ServerCode Model built in 138ms
2022-01-31 08:13:14,427 | SERVER_CODE |  INFO | [2072] Services (1):
